sys.exec.out.time {s},dyn.V1.DM->lonx {1},dyn.V1.DM->latx {1},dyn.V1.DM->alt {1},dyn.V1.DM->_dvbi {1},dyn.V1.DM->_SBII[0] {1},dyn.V1.DM->_SBII[1] {1},dyn.V1.DM->_SBII[2] {1},dyn.V1.DM->_VBII[0] {1},dyn.V1.DM->_VBII[1] {1},dyn.V1.DM->_VBII[2] {1},dyn.V1.DM->thtbdx {1}
                  33,  -120.5362711291194,   34.68432669453689,   10936.59085572604,   658.9014099784531,   83756.06485457637,    5258682.32982003,   3615462.422670521,  -6.614694022758152,   514.5926445627809,   411.4629072668182,   57.78628756866934
                33.1,  -120.5366738887468,   34.68436781470444,   11002.41517384816,   661.0524501064315,   83755.51384688202,   5258733.869518258,    3615503.64202081,  -4.404231790100145,    516.201745939866,    412.924571832059,   57.72100574480566
                33.2,  -120.5370790314383,   34.68440917791816,   11068.45806459896,   663.2150069616315,   83755.18425741378,   5258785.570259419,   3615545.007683828,  -2.186280694941997,    517.813599809205,   414.3892391079578,   57.65584149927497
                33.3,  -120.5374865662934,   34.68445078495309,   11134.71997225471,   665.3897429256134,   83755.07684863347,   5258837.432347907,   3615586.519983057, 0.03938695255689785,   519.4287218937632,   415.8573208578797,   57.59097314257609
                33.4,  -120.5378965006647,   34.68449263661001,   11201.20137639157,   667.5767665673666,   83755.19239162804,   5258889.456115351,   3615628.179264418,   2.272749151800384,   521.0471866320024,    417.328890893871,   57.52654487460587
                33.5,  -120.5383088437004,   34.68453473370601,   11267.90276379231,   669.7761499024813,   83755.53165427684,   5258941.641898293,   3615669.985879433,   4.513775757966925,   522.6690390409526,    418.804002409964,   57.46258817540914
                33.6,  -120.5387236026871,   34.68457707707369,   11334.82462767418,   671.9879581861179,   83756.09540190588,   5258993.990037585,   3615711.940184718,   6.762446238747887,   524.2943200466611,   420.2827039444106,   57.39907461030801
                33.7,  -120.5391407867297,   34.68461966755984,   11401.96746704355,   674.2122493589994,   83756.88439832811,   5259046.500877935,   3615754.042541493,   9.018750918540698,   525.9230658304457,   421.7650390265837,   57.33594785004918
                33.8,  -120.5395604030884,   34.68466250602408,   11469.33178604953,   676.4490743815031,   83757.89940692499,   5259099.174767433,   3615796.293315087,   11.28269072300584,    527.555307853217,   423.2510463986341,   57.27314194952975
                33.9,  -120.5399824608652,   34.68470559333785,   11536.91809335444,   678.6984779804825,    83759.1411916613,   5259152.012057094,   3615838.692874486,   13.55427619821808,    529.191073235748,   424.7407604849846,   57.21059127704631
                  34,  -120.5404069678012,   34.68474893038339,   11604.72690158151,   680.9604995407662,   83760.61051798536,   5259205.013100446,   3615881.241591921,   15.83352624617767,   530.8303852872983,   426.2342119506127,   57.14823546430529
                34.1,  -120.5408339316599,   34.68479251805293,   11672.75872683618,   683.2351739960212,    83762.3081535987,   5259258.178253183,   3615923.939842527,   18.12046682011336,   532.4732640660923,   427.7314282612351,   57.08602146735747
                34.2,  -120.5412633616135,   34.68483635724797,   11741.01408831868,   685.5225326460838,   83764.23486909938,    5259311.50787287,   3615966.788004049,   20.41512970397065,   534.1197269100188,   429.2324342011424,   57.02390400720235
